sample_id,fastq_file,sample_info,condition
NL-P,Nick_S25_L001_R1_001.fastq,NZL10179_pDNA,t0
NL0,NL0_S1_L001_R1_001.fastq,NZL10193_d0,d0
NL1,NL1_S2_L001_R1_001.fastq,NZL10193_d3.1-uns,d3-uns
NL2,NL2_S3_L001_R1_001.fastq,NZL10193_d3.1-pos,d3-pos
NL3,NL3_S4_L001_R1_001.fastq,NZL10193_d3.1-neg,d3-neg
NL4,NL4_S5_L001_R1_001.fastq,NZL10193_d6.1-uns,d6-uns
NL5,NL5_S6_L001_R1_001.fastq,NZL10193_d6.1-pos,d6-pos
NL6,NL6_S7_L001_R1_001.fastq,NZL10193_d6.1-neg,d6-neg
NL7,NL7_S8_L001_R1_001.fastq,NZL10193_d9.1-uns,d9-uns
NL8,NL8_S9_L001_R1_001.fastq,NZL10193_d9.1-pos,d9-pos
NL9,NL9_S10_L001_R1_001.fastq,NZL10193_d9.1-neg,d9-neg
NL10,NL10_S11_L001_R1_001.fastq,NZL10193_d3.2-uns,d3-uns
NL11,NL11_S12_L001_R1_001.fastq,NZL10193_d3.2-pos,d3-pos
NL12,NL12_S13_L001_R1_001.fastq,NZL10193_d3.2-neg,d3-neg
NL13,NL13_S14_L001_R1_001.fastq,NZL10193_d6.2-uns,d6-uns
NL14,NL14_S15_L001_R1_001.fastq,NZL10193_d6.2-pos,d6-pos
NL15,NL15_S16_L001_R1_001.fastq,NZL10193_d6.2-neg,d6-neg
NL16,NL16_S17_L001_R1_001.fastq,NZL10193_d9.2-uns,d9-uns
NL17,NL17_S18_L001_R1_001.fastq,NZL10193_d9.2-pos,d9-pos
NL18,NL18_S19_L001_R1_001.fastq,NZL10193_d9.2-neg,d9-neg
NL19,NL19_S20_L001_R1_001.fastq,NZL10193_d3.3-uns,d3-uns
NL20,NL20_S21_L001_R1_001.fastq,NZL10193_d3.3-pos,d3-pos
NL21,NL21_S22_L001_R1_001.fastq,NZL10193_d3.3-neg,d3-neg
NL22,NL22_S23_L001_R1_001.fastq,NZL10193_d6.3-uns,d6-uns
NL23,NL23_S24_L001_R1_001.fastq,NZL10193_d6.3-pos,d6-pos
NL24,NL24_S25_L001_R1_001.fastq,NZL10193_d6.3-neg,d6-neg
NL25,NL25_S26_L001_R1_001.fastq,NZL10193_d9.3-uns,d9-uns
NL26,NL26_S27_L001_R1_001.fastq,NZL10193_d9.3-pos,d9-pos
NL27,NL27_S28_L001_R1_001.fastq,NZL10193_d9.3-neg,d9-neg
